hour,avg_fill,min_fill,max_fill,n
"2026-03-28 23:00",79.2,74.6,80.2,66
"2026-03-29 00:00",78.8,73.3,80.1,80
"2026-03-29 01:00",68.5,53.8,79.8,78
"2026-03-29 02:00",64.9,40.5,70.6,75
"2026-03-29 03:00",63.0,49.5,70.3,79
"2026-03-29 04:00",62.2,40.6,69.1,77
"2026-03-29 05:00",62.5,41.1,70.2,81
"2026-03-29 06:00",63.4,50.0,69.4,77
"2026-03-29 07:00",75.2,53.3,80.1,79
"2026-03-29 08:00",78.3,72.5,79.9,72
"2026-03-29 09:00",67.7,40.5,79.8,67
"2026-03-29 10:00",58.3,40.4,69.4,71
"2026-03-29 11:00",52.7,28.8,70.3,70
"2026-03-29 12:00",32.6,18.0,55.9,75
"2026-03-29 13:00",42.9,14.3,70.7,78
"2026-03-29 14:00",67.7,43.5,76.5,73
"2026-03-29 15:00",69.5,63.0,70.9,68
"2026-03-29 16:00",68.9,56.6,70.7,77
"2026-03-29 17:00",69.5,65.6,71.2,64
"2026-03-29 18:00",69.5,62.8,70.8,65
"2026-03-29 19:00",67.1,59.8,70.9,70
"2026-03-29 20:00",64.3,40.7,70.6,69
"2026-03-29 21:00",48.3,25.6,66.7,80
"2026-03-29 22:00",38.5,25.1,62.1,76
"2026-03-29 23:00",51.5,21.8,69.8,73
"2026-03-30 00:00",44.6,28.2,62.6,64
"2026-03-30 01:00",40.2,28.0,62.1,69
"2026-03-30 02:00",39.2,28.2,52.8,73
"2026-03-30 03:00",43.0,28.4,62.9,70
"2026-03-30 04:00",42.0,28.4,56.6,84
"2026-03-30 05:00",42.4,24.9,65.9,68
"2026-03-30 06:00",37.7,28.3,62.5,69
"2026-03-30 07:00",39.8,27.7,62.7,78
"2026-03-30 08:00",41.0,28.6,67.1,74
"2026-03-30 09:00",50.8,28.5,70.0,63
"2026-03-30 10:00",38.2,27.0,59.8,68
"2026-03-30 11:00",41.0,28.0,52.6,82
"2026-03-30 12:00",45.0,16.6,69.2,60
"2026-03-30 13:00",55.7,40.3,67.2,33
"2026-03-30 14:00",56.4,40.7,66.5,26
"2026-03-30 20:00",51.7,27.9,63.1,30
"2026-03-30 21:00",50.2,40.4,67.1,60
"2026-03-30 22:00",49.8,27.7,69.1,57
"2026-03-30 23:00",55.6,40.2,68.3,57
"2026-03-31 00:00",50.7,32.4,67.9,62
"2026-03-31 01:00",51.5,39.8,64.8,62
"2026-03-31 02:00",52.7,30.3,66.2,68
"2026-03-31 03:00",47.9,40.2,62.3,71
"2026-03-31 04:00",52.8,29.1,68.8,67
"2026-03-31 05:00",43.0,27.2,64.4,69
"2026-03-31 06:00",37.1,27.4,65.1,69
"2026-03-31 07:00",44.2,27.6,64.6,68
"2026-03-31 08:00",50.5,39.3,66.4,63
"2026-03-31 09:00",45.9,30.1,63.7,47
"2026-03-31 10:00",56.3,39.6,69.1,45
"2026-03-31 11:00",53.6,29.3,65.9,47
"2026-03-31 12:00",51.7,39.7,62.8,24
"2026-03-31 13:00",53.6,39.6,67.4,30
"2026-03-31 14:00",46.1,25.1,67.7,94
"2026-03-31 15:00",52.6,39.6,66.1,93
"2026-03-31 16:00",55.9,35.6,68.9,87
"2026-03-31 17:00",56.9,39.4,69.7,83
"2026-03-31 18:00",53.9,26.0,67.7,46
"2026-03-31 19:00",56.3,39.3,67.2,65
"2026-03-31 20:00",59.9,39.5,70.0,56
"2026-03-31 21:00",54.6,39.4,66.1,60
"2026-03-31 22:00",51.9,39.3,65.8,64
"2026-03-31 23:00",54.0,38.5,66.1,60
"2026-04-01 00:00",54.6,38.3,64.4,54
"2026-04-01 01:00",50.8,39.3,62.9,66
"2026-04-01 02:00",51.1,39.3,65.8,65
"2026-04-01 03:00",51.2,28.2,67.0,60
"2026-04-01 04:00",52.6,39.4,64.1,57
"2026-04-01 05:00",50.2,39.0,66.1,58
"2026-04-01 06:00",57.8,39.5,66.4,66
"2026-04-01 07:00",56.2,35.1,67.2,55
"2026-04-01 08:00",52.9,39.5,69.1,54
"2026-04-01 09:00",57.8,34.6,68.3,59
"2026-04-01 10:00",57.4,41.9,68.4,50
"2026-04-01 11:00",48.4,39.4,59.5,52
"2026-04-01 12:00",48.3,39.4,70.0,44
"2026-04-01 13:00",68.9,57.4,71.6,61
"2026-04-01 14:00",68.6,59.3,70.9,54
"2026-04-01 15:00",69.0,65.0,71.2,56
"2026-04-01 16:00",68.8,57.2,71.3,54
"2026-04-01 17:00",67.7,55.3,70.9,51
"2026-04-01 18:00",68.7,62.5,72.0,45
"2026-04-01 19:00",68.3,64.3,71.0,52
"2026-04-01 20:00",68.5,56.8,71.7,53
"2026-04-01 21:00",77.0,68.9,80.9,56
"2026-04-01 22:00",85.6,73.7,88.5,47
"2026-04-01 23:00",85.7,75.4,89.1,47
"2026-04-02 00:00",85.9,72.8,88.0,45
"2026-04-02 01:00",85.7,78.5,88.3,48
"2026-04-02 02:00",84.5,70.2,88.1,48
"2026-04-02 03:00",85.4,64.8,88.4,44
"2026-04-02 04:00",85.2,73.8,90.4,48
"2026-04-02 05:00",86.8,84.3,88.3,42
"2026-04-02 06:00",86.8,81.5,89.2,38
"2026-04-02 07:00",63.8,39.6,88.4,50
"2026-04-02 08:00",82.4,67.4,87.4,46
"2026-04-02 09:00",75.3,43.5,78.8,41
"2026-04-02 10:00",75.8,61.0,83.0,42
"2026-04-02 11:00",76.5,70.9,78.9,11
