hour,avg_fill,min_fill,max_fill,range_fill,n_samples,avg_lambda1
"2026-03-24 20:00",47.1,18.5,68.0,49.5,128,29.47
"2026-03-25 06:00",28.6,21.8,76.4,54.6,3234,132.49
"2026-03-25 07:00",24.2,19.4,31.2,11.8,440,135.3
"2026-03-25 08:00",26.4,24.0,32.1,8.1,942,164.68
"2026-03-25 09:00",26.9,23.9,32.1,8.1,1662,183.32
"2026-03-25 10:00",26.0,18.8,32.1,13.3,1671,182.72
"2026-03-25 11:00",26.1,18.3,32.1,13.8,1657,179.8
"2026-03-25 12:00",30.7,24.0,32.1,8.1,1602,184.76
"2026-03-25 13:00",31.3,30.3,32.1,1.8,1685,186.29
"2026-03-25 14:00",31.2,18.7,32.1,13.4,1698,188.0
"2026-03-25 15:00",31.6,25.3,32.1,6.7,1812,178.44
"2026-03-25 16:00",31.5,25.1,32.1,7.0,1515,189.44
"2026-03-25 17:00",31.9,30.3,32.1,1.8,1719,190.94
"2026-03-25 18:00",31.4,30.1,32.1,1.9,1638,197.05
"2026-03-25 19:00",30.2,30.0,30.4,0.4,1525,200.97
"2026-03-25 20:00",31.7,30.0,32.1,2.1,1664,195.31
"2026-03-25 21:00",39.6,13.9,91.2,77.3,1220,135.46
"2026-03-25 22:00",14.0,13.9,14.7,0.8,1522,435.51
"2026-03-25 23:00",14.0,13.9,14.7,0.8,1523,489.18
"2026-03-26 00:00",14.0,13.9,14.7,0.8,1523,489.45
"2026-03-26 01:00",14.0,13.9,14.7,0.8,1522,489.3
"2026-03-26 02:00",14.0,13.9,14.7,0.8,1523,489.15
"2026-03-26 03:00",14.0,13.9,14.7,0.8,1523,489.21
"2026-03-26 04:00",49.9,13.9,100.0,86.1,1513,116.04
"2026-03-26 05:00",23.9,14.2,78.8,64.6,1744,280.0
"2026-03-26 06:00",29.3,13.2,100.0,86.8,4363,237.29
"2026-03-26 07:00",33.4,13.2,100.0,86.8,4066,148.87
"2026-03-26 08:00",20.1,14.4,32.1,17.6,3976,344.74
"2026-03-26 09:00",25.9,14.4,97.5,83.1,1914,277.97
"2026-03-26 10:00",19.8,14.4,32.1,17.7,1830,421.38
"2026-03-26 11:00",51.0,14.2,97.2,82.9,1744,72.8
"2026-03-26 12:00",31.9,14.3,91.3,77.0,1777,128.51
"2026-03-26 13:00",37.9,14.4,94.2,79.9,1518,119.14
"2026-03-26 14:00",26.7,14.3,90.3,76.0,1762,182.33
"2026-03-26 15:00",20.8,14.3,82.0,67.7,1791,346.64
"2026-03-26 16:00",21.4,15.4,85.2,69.8,1778,313.75
"2026-03-26 17:00",20.5,15.4,77.5,62.1,1698,358.33
"2026-03-26 18:00",19.6,15.5,81.5,65.9,1593,366.59
"2026-03-26 19:00",17.9,15.4,32.1,16.7,1781,439.56
"2026-03-26 20:00",28.3,15.4,90.9,75.5,1763,163.73
"2026-03-26 21:00",18.1,15.2,32.1,16.9,1814,367.77
"2026-03-26 22:00",18.3,15.4,32.1,16.6,720,413.14
"2026-03-27 05:00",24.5,15.6,78.3,62.8,1008,254.35
"2026-03-27 06:00",22.2,15.6,84.0,68.4,1811,381.25
"2026-03-27 07:00",30.2,15.5,83.9,68.4,1810,135.54
"2026-03-27 08:00",18.6,3.8,61.5,57.8,1815,235.89
"2026-03-27 09:00",17.3,3.4,29.8,26.4,1746,365.22
"2026-03-27 10:00",15.5,3.3,41.6,38.3,1746,257.23
"2026-03-27 11:00",17.4,4.0,33.0,29.0,1730,358.37
"2026-03-27 12:00",12.7,1.0,51.0,50.0,1704,194.38
"2026-03-27 13:00",17.3,3.3,32.0,28.6,1744,324.7
"2026-03-27 14:00",16.9,3.2,32.0,28.8,1735,309.78
"2026-03-27 15:00",18.4,15.3,32.1,16.8,1776,432.63
"2026-03-27 16:00",17.7,15.4,32.0,16.7,1683,427.37
"2026-03-27 17:00",17.4,12.2,31.7,19.5,1667,445.71
"2026-03-27 18:00",17.5,12.2,30.9,18.7,1686,356.56
"2026-03-27 19:00",18.0,15.4,32.1,16.7,1707,452.28
"2026-03-27 20:00",18.1,15.4,31.6,16.1,1718,470.41
"2026-03-27 21:00",18.2,15.6,32.1,16.5,1711,449.16
"2026-03-27 22:00",17.5,3.8,32.1,28.3,1674,319.29
"2026-03-27 23:00",18.9,15.5,32.1,16.6,1748,236.98
"2026-03-28 00:00",18.1,3.5,58.7,55.1,1739,200.17
"2026-03-28 01:00",19.7,15.5,32.1,16.6,1448,241.27
"2026-03-28 02:00",20.6,15.5,32.1,16.5,136,230.45
"2026-03-28 03:00",20.4,15.6,31.3,15.7,115,229.96
"2026-03-28 04:00",20.2,15.5,25.8,10.3,115,226.06
"2026-03-28 05:00",20.4,15.5,26.1,10.5,185,227.58
"2026-03-28 06:00",20.2,15.6,31.2,15.5,132,231.77
"2026-03-28 07:00",19.5,15.5,32.1,16.6,1190,309.53
"2026-03-28 08:00",19.1,3.8,32.1,28.3,1810,399.51
"2026-03-28 09:00",18.3,3.5,32.1,28.6,1691,324.19
"2026-03-28 10:00",18.9,15.5,32.1,16.6,838,364.67
"2026-03-28 12:00",18.2,4.5,40.9,36.5,517,314.95
"2026-03-28 13:00",19.3,15.4,32.1,16.7,1784,457.39
"2026-03-28 14:00",19.4,12.3,32.1,19.8,1771,453.31
"2026-03-28 15:00",18.8,3.8,32.1,28.3,1807,433.78
